ID,ADDRESS,TYPE,BRANCH
297,台北市萬華區萬大路486巷61號63號65號1樓,統一超商股份有限公司,萬東
298,台北市大安區敦化南路一段247巷12號1樓,統一超商股份有限公司,誠安
299,台北市中山區南京東路二段11號1樓,統一超商股份有限公司,吉鑫
300,台北市北投區西安街二段345號1樓,統一超商股份有限公司,福瀛
301,台北市大安區安東街50之2號50之3號50之4號,統一超商股份有限公司,安松
302,台北市大安區信義路二段198巷6號1樓,統一超商股份有限公司,東門
303,台北市南港區玉成街69號1樓,統一超商股份有限公司,港運
304,台北市北投區裕民一路40巷1號,統一超商股份有限公司,東華
305,台北市士林區延平北路六段122號124號1樓,統一超商股份有限公司,福氣
306,台北市中山區松江路183號183-1號1樓,統一超商股份有限公司,鑫櫃
307,台北市中正區開封街一段40號42號1樓,統一超商股份有限公司,開博
308,台北市內湖區瑞光路517號1樓,統一超商股份有限公司,洲子
309,台北市中山區長安東路二段101號,統一超商股份有限公司,長通
310,台北市大安區通化里光復南路616號,統一超商股份有限公司,復昌
311,台北市士林區光華路26巷10號1樓,統一超商股份有限公司,文學
312,台北市士林區天母里天母西路39-1號1樓,統一超商股份有限公司,天北
313,台北市大安區和平東路一段266號,統一超商股份有限公司,溫東
314,台北市南港區南港路三段49-1號,統一超商股份有限公司,鵬馳
315,台北市松山區敦化北路168號B2,統一超商股份有限公司,上弘
316,台北市中正區林森南路12號,統一超商股份有限公司,中航
317,台北市中山區天津街65號,統一超商股份有限公司,天津
318,台北市大安區和平東路一段91號,統一超商股份有限公司,和金
319,台北市內湖區內湖路一段285巷65弄3號5號1樓,統一超商股份有限公司,西武
320,台北市北投區中和街476號478號480號1樓,統一超商股份有限公司,秀山
321,台北市內湖區瑞光路316巷56號1樓,統一超商股份有限公司,瑞和
322,台北市松山區東興路13-1號1樓15巷3號1樓,統一超商股份有限公司,統威
323,台北市士林區中正路220號222號,統一超商股份有限公司,福榮
324,台北市松山區健康路224號,統一超商股份有限公司,婦聯
325,台北市松山區延壽街422號,統一超商股份有限公司,延壽
326,台北市士林區天母東路88之1號1樓,統一超商股份有限公司,三玉
327,台北市大安區和平東路二段118巷33號,統一超商股份有限公司,龍淵
328,台北市文山區景華里景興路14號,統一超商股份有限公司,景高
329,台北市信義區莊敬路325巷43號,統一超商股份有限公司,松智
330,台北市大安區仁愛路三段25-1號27號,統一超商股份有限公司,中廣
331,台北市松山區八德路二段366巷7號1樓,統一超商股份有限公司,庫德
332,台北市士林區天福里天母東路８巷39號天母東路8巷41弄1號,統一超商股份有限公司,天福
333,台北市內湖區東湖路45號,統一超商股份有限公司,明湖
334,台北市大同區華陰街91號,統一超商股份有限公司,京站
335,台北市大同區延平北路三段19之5號21號1樓,統一超商股份有限公司,景星
336,台北市士林區士東路266巷5弄18號20號1樓,統一超商股份有限公司,德芝
337,台北市北投區光明路132之2號1.2樓,統一超商股份有限公司,光寶
338,台北市士林區忠誠路2段50巷12號,統一超商股份有限公司,德寶
339,台北市內湖區基湖路35巷13號1樓,統一超商股份有限公司,湖光
340,台北市萬華區西園路一段153號地下室,統一超商股份有限公司,萬運
341,台北市大安區光復南路98之3號98之5號,統一超商股份有限公司,復忠
342,台北市中正區南昌路一段135號1樓,統一超商股份有限公司,鑫國語
343,台北市文山區木柵路一段284號286號1樓,統一超商股份有限公司,華興
344,台北市中山區中山北路二段56號1樓,統一超商股份有限公司,長城
345,台北市大同區民生西路84號1樓,統一超商股份有限公司,仟瑞
346,台北市內湖區瑞光路583巷30號1樓,統一超商股份有限公司,瑞景
347,台北市士林區延平北路六段229號231號,統一超商股份有限公司,集鑫
348,台北市內湖區洲子街12號1樓,統一超商股份有限公司,墘運
349,台北市士林區大東路35號1樓,統一超商股份有限公司,大饌
350,台北市松山區復興北路179號,統一超商股份有限公司,復春
351,台北市中正區廣州街10-2號10-3號10-4部分號1樓,統一超商股份有限公司,警廣
352,台北市中正區中華路一段59之16號,統一超商股份有限公司,華慶
353,台北市中山區北安路621巷48號,統一超商股份有限公司,新大直
354,台北市信義區基隆路二段131-4號,統一超商股份有限公司,昌隆
355,台北市松山區八德路四段697號1樓,統一超商股份有限公司,新饒河
356,台北市南港區忠孝東路六段465號1樓,統一超商股份有限公司,忠陽
357,台北市大安區復興南路二段203號,統一超商股份有限公司,科技站
358,台北市中正區延平南路177號,統一超商股份有限公司,新愛國
359,台北市大同區酒泉街58號60號,統一超商股份有限公司,保聖
360,台北市文山區木柵路三段88號,統一超商股份有限公司,木盛
361,台北市中山區中山北路二段40-1號,統一超商股份有限公司,長中
362,台北市北投區石牌路二段179號1樓,統一超商股份有限公司,榮護
363,台北市士林區承德路五段55號,統一超商股份有限公司,兒樂
364,台北市中山區圓山里中山北路三段57號,統一超商股份有限公司,民美
365,台北市松山區南京東路五段66巷3弄1號1樓,統一超商股份有限公司,吉盛
366,台北市南港區研究院路二段14號,統一超商股份有限公司,研究
367,台北市萬華區西寧南路50巷3號5號,統一超商股份有限公司,昆寧
368,台北市內湖區行善路35號1F,統一超商股份有限公司,彩龍
369,台北市北投區石牌路二段301號,統一超商股份有限公司,榮總
370,台北市中正區博愛路97號1樓,統一超商股份有限公司,大永博
371,台北市松山區南京東路五段315號,統一超商股份有限公司,通盈
372,台北市內湖區五分街9號11號1樓,統一超商股份有限公司,悅來
